S/no,PLOT NO,SPECIES,DB,DBH,THT(m),BA,WD,AGB(kg),Trees/ha,AGB(kg)/ha
456,P17,Gmelina arborea,22.3,19.1,7.1,0.0286,0.425,62.534,0.529,33.080
457,P17,Gmelina arborea,22.6,18.8,6.1,0.0277,0.425,52.182,0.529,27.604
458,P17,Gmelina arborea,18.1,14.3,5.2,0.0161,0.425,26.316,0.529,13.921
459,P17,Gmelina arborea,18.8,15.0,5.1,0.0176,0.425,28.110,0.529,14.870
460,P17,Gmelina arborea,15.6,13.7,6.1,0.0147,0.425,28.141,0.529,14.887
461,P17,Gmelina arborea,22.9,18.8,5.3,0.0277,0.425,45.492,0.529,24.065
462,P17,Gmelina arborea,21.6,17.5,6.3,0.0241,0.425,46.955,0.529,24.839
463,P17,Gmelina arborea,25.1,19.7,6.9,0.0306,0.425,64.834,0.529,34.297
464,P17,Gmelina arborea,29.3,24.5,5.3,0.0472,0.425,76.499,0.529,40.468
465,P17,Gmelina arborea,28.3,25.1,7.1,0.0497,0.425,106.987,0.529,56.596
466,P17,Gmelina arborea,28.0,22.0,7.2,0.0379,0.425,83.277,0.529,44.053
467,P17,Gmelina arborea,16.9,14.3,5.4,0.0161,0.425,27.304,0.529,14.444
468,P17,Gmelina arborea,12.7,11.1,5.1,0.0097,0.425,15.810,0.529,8.364
469,P17,Gmelina arborea,19.7,16.5,5.6,0.0215,0.425,37.515,0.529,19.845
470,P17,Gmelina arborea,15.9,13.7,6.1,0.0147,0.425,28.141,0.529,14.887
471,P17,Gmelina arborea,30.9,27.1,7.4,0.0575,0.425,128.508,0.529,67.981
472,P18,Parkia biglobosa,38.2,31.8,7.4,0.0796,0.525,217.212,0.529,114.905
473,P18,Gmelina arborea,30.6,28.0,7.2,0.0616,0.425,133.882,0.529,70.823
474,P18,Iannea schimperiana,30.9,25.5,6.2,0.0509,0.600,134.633,0.529,71.221
475,P18,Gmelina arborea,36.9,28.0,5.8,0.0616,0.425,108.410,0.529,57.349
476,P18,Gmelina arborea,24.2,13.7,6.4,0.0147,0.425,29.491,0.529,15.601
477,P18,Gmelina arborea,24.2,16.2,6.4,0.0207,0.425,41.147,0.529,21.767
478,P18,Gmelina arborea,28.6,20.7,6.3,0.0336,0.425,65.058,0.529,34.415
479,P18,Iannea schimperiana,20.4,15.3,5.8,0.0183,0.600,46.541,0.529,24.620
480,P18,Gmelina arborea,24.7,20.7,6.2,0.0336,0.425,64.049,0.529,33.882
481,P18,Gmelina arborea,23.2,18.5,6.4,0.0268,0.425,52.890,0.529,27.979
482,P18,Gmelina arborea,21.6,18.5,5.3,0.0268,0.425,43.999,0.529,23.275
483,P18,Gmelina arborea,29.6,18.5,6.1,0.0268,0.425,50.469,0.529,26.698
484,P18,Gmelina arborea,29.6,19.4,6.3,0.0296,0.425,57.472,0.529,30.403
485,P18,Gmelina arborea,31.5,23.9,7.4,0.0448,0.425,100.652,0.529,53.245
486,P18,Gmelina arborea,20.4,17.5,6.1,0.0241,0.425,45.499,0.529,24.069
487,P18,Anthocleista djalonensis,42.0,30.6,7.2,0.0733,0.523,194.518,0.529,102.900
488,P18,Gmelina arborea,32.1,26.4,7.4,0.0548,0.425,122.672,0.529,64.893
489,P18,Gmelina arborea,28.3,24.5,7.1,0.0472,0.425,101.764,0.529,53.833
490,P18,Daniella olivera,21.6,19.1,6.3,0.0286,0.533,69.481,0.529,36.755
491,P18,Gmelina arborea,23.6,19.7,5.8,0.0306,0.425,54.725,0.529,28.950
492,P18,Daniella olivera,23.2,18.5,7,0.0268,0.533,72.075,0.529,38.128
493,P18,Gmelina arborea,29.6,16.9,7.2,0.0223,0.425,49.760,0.529,26.323
494,P18,Gmelina arborea,31.8,24.8,7.4,0.0484,0.425,108.661,0.529,57.482
495,P18,Gmelina arborea,47.7,24.8,7.4,0.0484,0.425,108.661,0.529,57.482
496,P18,Gmelina arborea,22.3,15.9,5.3,0.0199,0.425,32.932,0.529,17.421
497,P18,Gmelina arborea,17.2,16.5,5.1,0.0215,0.425,34.242,0.529,18.114
498,P18,Gmelina arborea,18.3,16.9,6.2,0.0223,0.425,43.003,0.529,22.748
499,P18,Gmelina arborea,19.4,15.0,5.7,0.0176,0.425,31.333,0.529,16.575
500,P18,Gmelina arborea,31.0,26.4,7.4,0.0548,0.425,122.672,0.529,64.893
