,S.NO,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
93,93,Tectona grandis,17,8.98,7.6,P5,0.615,0.00633348220556356,48.2692703158775,0.0482692703158775,32.1795135439183,0.0321795135439183,22.6865570484624,0.0226865570484624,21.4530090292789,0.0214530090292789
94,94,Tectona grandis,16.3,7.38,5.5,P5,0.615,0.0042776239730544,31.5862666536075,0.0315862666536075,21.057511102405,0.021057511102405,14.8455453271955,0.0148455453271955,14.0383407349367,0.0140383407349367
95,95,Tectona grandis,18.8,9.01,6.9,P5,0.615,0.00637587014444212,53.5991657464488,0.0535991657464488,35.7327771642992,0.0357327771642992,25.1916079008309,0.0251916079008309,23.8218514428661,0.0238218514428661
96,96,Tectona grandis,18.6,9.99,7.2,P5,0.615,0.00783828152468817,64.8863946679117,0.0648863946679117,43.2575964452745,0.0432575964452745,30.4966054939185,0.0304966054939185,28.838397630183,0.028838397630183
97,97,Tectona grandis,11.6,7.26,5.9,P5,0.615,0.00413964522370873,21.9490869184578,0.0219490869184578,14.6327246123052,0.0146327246123052,10.3160708516751,0.0103160708516752,9.75514974153678,0.00975514974153678
98,98,Tectona grandis,17,8.85,6.8,P5,0.615,0.00615143476526966,46.9146616889315,0.0469146616889315,31.2764411259543,0.0312764411259543,22.0498909937978,0.0220498909937978,20.8509607506362,0.0208509607506362
99,99,Tectona grandis,15.7,6.43,4.6,P5,0.615,0.00324722085258512,23.269285979563,0.023269285979563,15.5128573197087,0.0155128573197087,10.9365644103946,0.0109365644103946,10.3419048798058,0.0103419048798058
100,100,Tectona grandis,16.9,7.42,5.1,P5,0.615,0.00432411954432753,33.0676265317008,0.0330676265317008,22.0450843544672,0.0220450843544672,15.5417844698994,0.0155417844698994,14.6967229029781,0.0146967229029781
101,101,Tectona grandis,10,5.54,3.8,P5,0.615,0.00241051262717291,11.2018109254756,0.0112018109254756,7.46787395031706,0.00746787395031706,5.26485113497353,0.00526485113497353,4.97858263354471,0.00497858263354471
102,102,Tectona grandis,18.2,9.96,7.3,P5,0.615,0.00779127544460883,63.1522866742158,0.0631522866742158,42.1015244494772,0.0421015244494772,29.6815747368814,0.0296815747368814,28.0676829663181,0.0280676829663181
103,103,Tectona grandis,17,8.02,6.05,P5,0.615,0.00505171240289892,38.7100463543676,0.0387100463543676,25.8066975695784,0.0258066975695784,18.1937217865528,0.0181937217865527,17.2044650463856,0.0172044650463856
104,104,Tectona grandis,18,9.2,6.2,P5,0.615,0.006647610054996,53.507785963602,0.053507785963602,35.671857309068,0.035671857309068,25.1486594028929,0.0251486594028929,23.7812382060453,0.0237812382060453
105,105,Tectona grandis,10,6.91,4.5,P5,0.615,0.00375012700457177,17.2432182710533,0.0172432182710533,11.4954788473689,0.0114954788473689,8.10431258739506,0.00810431258739506,7.66365256491258,0.00766365256491258
106,106,Tectona grandis,17.5,8.59,6.6,P5,0.615,0.00579530382205873,45.5320253044089,0.0455320253044089,30.3546835362726,0.0303546835362726,21.4000518930722,0.0214000518930722,20.2364556908484,0.0202364556908484
